analysis,label,pathway,n_studies,contrib_diff_within_study,wilcox_p,cell_type,timepoint,p_adj
meta_analysis,SIPS,HALLMARK KRAS SIGNALING DN,4.0,-0.03290911617483168,0.056101251750267686,,,0.09350208625044615
meta_analysis,SIPS,HALLMARK KRAS SIGNALING UP,4.0,0.06598823924018847,2.2643207175011182e-05,,,9.434669656254658e-05
meta_analysis,SIPS,HALLMARK MITOTIC SPINDLE,4.0,-0.0034839919990212907,0.1313261458070687,,,0.19426944646016078
meta_analysis,SIPS,HALLMARK MTORC1 SIGNALING,4.0,0.05261178605378157,9.234191573977161e-12,,,1.4068204784456717e-10
meta_analysis,SIPS,HALLMARK MYC TARGETS,4.0,-0.05778209077616146,2.587372803909939e-18,,,1.6171080024437118e-16
meta_analysis,SIPS,HALLMARK MYOGENESIS,4.0,0.12278514098960962,9.566379253430568e-12,,,1.4068204784456717e-10
meta_analysis,SIPS,HALLMARK NOTCH SIGNALING,4.0,-0.023021626367840126,2.60909036900494e-06,,,1.3878140260664574e-05
meta_analysis,SIPS,HALLMARK OXIDATIVE PHOSPHORYLATION,4.0,0.006061089127052718,7.256075146100227e-06,,,3.311401609240015e-05
meta_analysis,SIPS,HALLMARK P53 PATHWAY,4.0,0.13716050143602881,4.724000876020051e-15,,,1.687143170007161e-13
meta_analysis,SIPS,HALLMARK PANCREAS BETA CELLS,4.0,-0.01015894903892973,0.0006051355072699521,,,0.0017388951358331959
meta_analysis,SIPS,HALLMARK PEROXISOME,4.0,0.006409215499582425,0.3525150878368297,,,0.42694730853549734
meta_analysis,SIPS,HALLMARK PI3K AKT MTOR SIGNALING,4.0,0.05101001966386849,4.866778925965654e-12,,,8.111298209942757e-11
meta_analysis,SIPS,HALLMARK PROTEIN SECRETION,4.0,0.012111299621156748,0.00010602140300093242,,,0.000385159873020256
meta_analysis,SIPS,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,4.0,-0.012923426602379762,8.135496395076691e-10,,,7.822592687573741e-09
meta_analysis,SIPS,HALLMARK SPERMATOGENESIS,4.0,-0.017381438871331787,0.8152174303550646,,,0.8491848232865257
meta_analysis,SIPS,HALLMARK TGF BETA SIGNALING,4.0,-0.004067948503720887,0.36852525214987797,,,0.4429390049878341
meta_analysis,SIPS,HALLMARK TNFA SIGNALING VIA NFKB,4.0,-0.024110646896188175,0.22856403949042248,,,0.30074215722424014
meta_analysis,SIPS,HALLMARK UNFOLDED PROTEIN RESPONSE,4.0,0.0030298835789108296,0.00011764645648863084,,,0.00042016591603082445
meta_analysis,SIPS,HALLMARK UV RESPONSE DN,4.0,-0.011838327146091794,0.15635289969986782,,,0.2220921870736759
meta_analysis,SIPS,HALLMARK UV RESPONSE UP,4.0,0.01266868356584447,0.008496588423630588,,,0.017688604439489615
meta_analysis,SIPS,HALLMARK WNT BETA CATENIN SIGNALING,4.0,0.0059971047069727395,0.0003548684705717797,,,0.0011230014891512017
meta_analysis,SIPS,HALLMARK XENOBIOTIC METABOLISM,4.0,-0.02896373866960303,0.0005720246552454916,,,0.0016628623698996849
meta_analysis,SIPS,Lysosomal Genes,4.0,0.04624154061372113,6.293270322546533e-10,,,6.293270322546532e-09
meta_analysis,OIS,HALLMARK ADIPOGENESIS,15.0,0.03567277193623782,3.5417746108496467e-07,,,2.2136091317810292e-06
meta_analysis,OIS,HALLMARK ALLOGRAFT REJECTION,15.0,0.03054458440687543,5.1383943848257397e-08,,,4.014370613145109e-07
meta_analysis,OIS,HALLMARK ANDROGEN RESPONSE,15.0,-0.015602089678232667,1.980508117940421e-06,,,1.1002822877446784e-05
meta_analysis,OIS,HALLMARK ANGIOGENESIS,15.0,0.07472937969571057,1.608638787194417e-13,,,4.468441075540047e-12
meta_analysis,OIS,HALLMARK APICAL JUNCTION,15.0,-0.0012630865646956458,0.30722049152773656,,,0.3840256144096707
meta_analysis,OIS,HALLMARK APICAL SURFACE,15.0,-0.015979455481480033,1.3936733992034566e-10,,,1.5837197718221097e-09
meta_analysis,OIS,HALLMARK APOPTOSIS,15.0,-0.05811054151403872,3.5417746108496467e-07,,,2.2136091317810292e-06
